"Time.to.resolution","year","quarter","area"
8,2016,"Q1","D"
7,2016,"Q1","W"
7,2016,"Q1","D"
6,2016,"Q1","D"
6,2016,"Q1","LSU"
6,2016,"Q1","N"
6,2016,"Q1",NA
6,2016,"Q1","N"
6,2016,"Q1","W"
6,2016,"Q1",NA
6,2016,"Q1",NA
2,2016,"Q1","D"
7,2016,"Q1","W"
6,2016,"Q1","LSU"
6,2016,"Q1","W"
6,2016,"Q1",NA
2,2016,"Q1","D"
6,2016,"Q1",NA
6,2016,"Q1","W"
2,2016,"Q1","D"
6,2016,"Q1",NA
6,2016,"Q1",NA
8,2016,"Q1","D"
7,2016,"Q1",NA
7,2016,"Q1","D"
7,2016,"Q1","LSU"
7,2016,"Q1","W"
5,2016,"Q1","D"
7,2016,"Q1","W"
5,2016,"Q1","W"
7,2016,"Q1","W"
5,2016,"Q1","D"
7,2016,"Q1","D"
7,2016,"Q1",NA
6,2016,"Q1","LSU"
7,2016,"Q1","W"
6,2016,"Q1","LSU"
8,2016,"Q1","D"
7,2016,"Q1","W"
4,2016,"Q1","D"
12,2016,"Q1","D"
8,2016,"Q1","D"
5,2016,"Q1","W"
8,2016,"Q1","D"
3,2016,"Q1","W"
3,2016,"Q1",NA
6,2016,"Q1","D"
6,2016,"Q1",NA
4,2016,"Q1","D"
7,2016,"Q1",NA
4,2016,"Q1",NA
7,2016,"Q1","D"
9,2016,"Q2","LSU"
9,2016,"Q2","D"
7,2016,"Q2","D"
9,2016,"Q2","W"
7,2016,"Q2","D"
3,2016,"Q2","N"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2",NA
8,2016,"Q2","LSU"
7,2016,"Q2",NA
7,2016,"Q2","LSU"
7,2016,"Q2","D"
8,2016,"Q2","LSU"
9,2016,"Q2","D"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2","W"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2","W"
7,2016,"Q2","W"
8,2016,"Q2","D"
8,2016,"Q2","W"
6,2016,"Q2","N"
8,2016,"Q2","LSU"
4,2016,"Q2","D"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
4,2016,"Q2","D"
7,2016,"Q2","W"
0,2016,"Q2","D"
7,2016,"Q2","D"
12,2016,"Q2",NA
0,2016,"Q2","D"
7,2016,"Q2","W"
7,2016,"Q2","D"
7,2016,"Q2",NA
7,2016,"Q2","LSU"
6,2016,"Q2",NA
6,2016,"Q2","D"
6,2016,"Q2",NA
6,2016,"Q2","D"
6,2016,"Q2","W"
6,2016,"Q2","LSU"
10,2016,"Q2","W"
6,2016,"Q2",NA
0,2016,"Q2",NA
6,2016,"Q2","W"
6,2016,"Q2","W"
6,2016,"Q2","W"
6,2016,"Q2","D"
6,2016,"Q2","D"
6,2016,"Q2","W"
6,2016,"Q2","LSU"
6,2016,"Q2","W"
0,2016,"Q2","W"
6,2016,"Q2","W"
7,2016,"Q2","D"
6,2016,"Q2","D"
6,2016,"Q2","D"
7,2016,"Q2","N"
6,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2","LSU"
5,2016,"Q2","W"
